"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"225"	"R25_zj31_9hm_PB_MONO.fastq"	"9.5m PB Mono CD99"	"CD99"	9.5	""	""	""
"226"	NA	NA	NA	NA	NA	NA	NA
"227"	NA	NA	NA	NA	NA	NA	NA
"228"	NA	NA	NA	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA
"230"	NA	NA	NA	NA	NA	NA	NA
"231"	NA	NA	NA	NA	NA	NA	NA
"232"	NA	NA	NA	NA	NA	NA	NA
"233"	NA	NA	NA	NA	NA	NA	NA
"234"	NA	NA	NA	NA	NA	NA	NA
"235"	NA	NA	NA	NA	NA	NA	NA
"236"	NA	NA	NA	NA	NA	NA	NA
"237"	NA	NA	NA	NA	NA	NA	NA
"238"	NA	NA	NA	NA	NA	NA	NA
"239"	NA	NA	NA	NA	NA	NA	NA
"240"	NA	NA	NA	NA	NA	NA	NA
"241"	"R23_zj31_9hm_PB_T_CD3p_CD56n.fastq"	"9.5m PB T CD3+CD56- CD99"	"CD99"	9.5	""	""	""
"242"	NA	NA	NA	NA	NA	NA	NA
"243"	NA	NA	NA	NA	NA	NA	NA
"244"	NA	NA	NA	NA	NA	NA	NA
"245"	NA	NA	NA	NA	NA	NA	NA
"246"	NA	NA	NA	NA	NA	NA	NA
"247"	NA	NA	NA	NA	NA	NA	NA
"248"	NA	NA	NA	NA	NA	NA	NA
"249"	"zj31_17hm_B_20160108pp_50trim_CD119_R14.fastq"	"17.5m B"	"CD119"	NA	""	""	""
"250"	"zj31_17hm_Mono_20160108_pp_50trim_CD119_R15.fastq"	"17.5m Mono"	"CD119"	NA	""	""	""
"251"	NA	NA	NA	NA	NA	NA	NA
"252"	"zj31_17hm_T_20160108_pp_50trim_CD119_R13.fastq"	"17.5m T"	"CD119"	NA	""	""	""
"253"	NA	NA	NA	NA	NA	NA	NA
"254"	NA	NA	NA	NA	NA	NA	NA
